발주번호,발주유형,SKU ID,SKU 이름,SKU Barcode,물류센터,입고예정일,발주일,발주수량,확정수량,입고수량,매입유형,면세여부,생산연도,제조일자,유통기한,매입가,공급가,부가세,총발주 매입금,입고금액
19346417,일반,10451895,말랑하니 스와들스트랩 오가닉코튼(베이지),R003451180005,인천4,2020-09-09,2020-09-04 08:42:42,16,16,0,직매입,N,,,,13500,12273,1227,216000,0
19346417,일반,10451949,말랑하니 속싸개 메쉬 블루도트 S,R003451180016,인천4,2020-09-09,2020-09-04 08:42:42,34,34,0,직매입,N,,,,13500,12273,1227,459000,0
19346395,일반,11492987,말랑하니 오가닉속싸개_엘라스틴_캐럿핑크M,R004467000003,고양1,2020-09-09,2020-09-04 08:42:41,20,20,0,직매입,N,,,,13900,12636,1264,278000,0
19346395,일반,11492986,말랑하니 오가닉속싸개_엘라스틴_그레이도트M,R004467000001,고양1,2020-09-09,2020-09-04 08:42:41,8,8,0,직매입,N,,,,13900,12636,1264,111200,0
19346395,일반,11492985,말랑하니 오가닉속싸개_엘라스틴_캐럿핑크S,R004467000006,고양1,2020-09-09,2020-09-04 08:42:41,10,10,0,직매입,N,,,,13900,12636,1264,139000,0
19346395,일반,11492984,말랑하니 오가닉속싸개_엘라스틴_그레이도트S,R004467000004,고양1,2020-09-09,2020-09-04 08:42:41,6,6,0,직매입,N,,,,13900,12636,1264,83400,0
19343476,일반,11763103,루미레브 하이방석 8cm 캐릭터형_공룡커드_카키 + 동화책,R004669850004,호법,2020-09-16,2020-09-04 08:42:18,3,3,0,직매입,N,,,,21000,19091,1909,63000,0
19343288,일반,11763103,루미레브 하이방석 8cm 캐릭터형_공룡커드_카키 + 동화책,R004669850004,마장1,2020-09-16,2020-09-04 08:42:18,9,9,0,직매입,N,,,,21000,19091,1909,189000,0
19343120,일반,11576523,카키블린 워터매트 촉감놀이 유아장난감,R004626700001,고양1,2020-09-09,2020-09-04 08:42:17,50,50,0,직매입,N,,,,7500,6818,682,375000,0
19342994,일반,11230762,말랑하니 뒤집으면 꺼지는 타이머 수유등 취침등 신생아수유등 우드,R004188950001,고양1,2020-09-09,2020-09-04 08:42:16,30,30,0,직매입,N,,,,11900,10818,1082,357000,0
19342811,일반,11267174,말랑하니 뒤집으면 꺼지는 타이머 수유등 취침등 신생아수유등 그레이,R004242410001,대구2,2020-09-09,2020-09-04 08:42:15,30,30,0,직매입,N,,,,11900,10818,1082,357000,0
19342811,일반,11230762,말랑하니 뒤집으면 꺼지는 타이머 수유등 취침등 신생아수유등 우드,R004188950001,대구2,2020-09-09,2020-09-04 08:42:15,30,30,0,직매입,N,,,,11900,10818,1082,357000,0
